ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
451;Яковлев Андрей Егорович;2003-06-28;Пермь;+79631667147;data89367@bk.ru;Магистратура;Дизайнер интерфейсов
452;Соловьёв Глеб Янович;1991-06-06;Челябинск;+79679263797;nikita73187@gmail.com;Высшее;Курьер
453;Ильин Пётр Устинович;1979-01-11;Волгоград;+79604570347;ivan11474@rambler.ru;Аспирантура;Автомеханик
454;Сергеев Платон Русланович;1995-02-14;Санкт-Петербург;+79604486544;manager79905@gmail.com;Высшее;Бариста
455;Смирнов Тимур Глебович;1996-02-24;Пермь;+79085469340;account36159@list.ru;Аспирантура;Логист
456;Григорьев Сергей Семёнович;2002-08-14;Екатеринбург;+79125586236;admin78211@gmail.com;Магистратура;Логист
457;Романов Вадим Демидович;1999-08-19;Уфа;+79601121541;andrey76796@yandex.ru;Среднее;Логист
458;Воробьёв Игорь Никитич;1991-07-28;Воронеж;+79915197585;dima68637@mail.ru;Аспирантура;Опыт работы 2 года
459;Семёнов Константин Устинович;1995-01-05;Ижевск;+79503326678;job37450@inbox.ru;Высшее;Маркетолог
460;Романов Евгений Кириллович;1992-10-25;Тюмень;+79822502164;dev21722@bk.ru;Высшее;Фрилансер
461;Соловьёв Егор Олегович;2003-09-21;Саратов;+79677387294;dev16103@yandex.ru;Профессиональное;Сварщик
462;Медведев Устин Семёнович;1993-07-21;Нижний Новгород;+79208095035;cloud48691@gmail.com;Среднее специальное;Дизайнер интерфейсов
463;Яковлев Кирилл Викторович;2004-03-22;Тольятти;+79271807386;cloud62767@bk.ru;Аспирантура;Научный сотрудник
464;Новиков Константин Глебович;2005-05-21;Санкт-Петербург;+79119326208;client28177@list.ru;Магистратура;Разработчик ПО
465;Степанов Борис Александрович;1989-12-20;Уфа;+79878863751;pasha49307@list.ru;Среднее специальное;Студент последнего курса
466;Павлов Александр Глебович;1995-10-28;Волгоград;+79877626564;sidorov.vladimir@inbox.ru;Магистратура;Бухгалтер
467;Семёнов Степан Олегович;1993-02-02;Тюмень;+79516360239;web61600@inbox.ru;Среднее специальное;Системный администратор
468;Алексеев Олег Маркович;1998-08-29;Казань;+79676417658;study51253@gmail.com;Высшее;Автомеханик
469;Соколов Евгений Александрович;1991-04-18;Челябинск;+79675475311;dima18916@bk.ru;Среднее специальное;Ищет работу по специальности
470;Макаров Владимир Артурович;1989-06-11;Уфа;+79373270315;dima53956@list.ru;Среднее специальное;Опыт работы 2 года
471;Иванов Савва Олегович;1987-08-26;Тюмень;+79127746930;client79283@bk.ru;Неоконченное высшее;Фрилансер
472;Романов Пётр Евгеньевич;1973-01-05;Волгоград;+79876897586;taras.makarov@bk.ru;Аспирантура;Системный администратор
473;Макаров Даниил Олегович;1985-03-31;Екатеринбург;+79089432884;manager2412@yandex.ru;Неоконченное высшее;Опыт работы 2 года
474;Егоров Павел Максимович;1970-07-21;Ростов-на-Дону;+79198514490;tech3361@mail.ru;Профессиональное;Студент последнего курса
475;Попов Евгений Кириллович;1983-12-23;Уфа;+79272895298;account54570@mail.ru;Высшее;Автомеханик
476;Павлов Демид Михайлович;2005-05-04;Краснодар;+79188697097;core35458@list.ru;Среднее специальное;Научный сотрудник
477;Воробьёв Маркел Германович;1994-05-03;Екатеринбург;+79223461459;cloud21191@inbox.ru;Магистратура;Готов к переезду
478;Филиппов Артур Георгиевич;2000-11-07;Красноярск;+79131518511;popov_ivan@list.ru;Магистратура;Разработчик ПО
479;Петров Дмитрий Александрович;1977-06-29;Пермь;+79225090557;borisov.platon@rambler.ru;Среднее специальное;Разработчик ПО
480;Волков Егор Александрович;1976-04-07;Воронеж;+79915374503;sys42605@list.ru;Магистратура;Юрист
481;Семёнов Роберт Платонович;1999-07-19;Пермь;+79518742285;nikita34992@gmail.com;Магистратура;Финансовый аналитик
482;Ильин Матвей Степанович;1985-11-22;Ижевск;+79635052850;zaytsev_kirill@yandex.ru;Высшее;Финансовый аналитик
483;Сидоров Олег Никитич;1998-04-22;Тольятти;+79271330444;semyon.ilin@mail.ru;Неоконченное высшее;Логист
484;Сидоров Михаил Германович;1981-08-18;Омск;+79232973807;temp37499@bk.ru;Среднее;Логист
485;Морозов Устин Алексеевич;2005-08-29;Самара;+79672241584;net78387@yandex.ru;Среднее специальное;Курьер
486;Лебедев Марк Кириллович;1990-07-13;Пермь;+79637077162;cloud39945@inbox.ru;Среднее;Студент последнего курса
487;Дмитриев Семён Максимович;1973-03-15;Ростов-на-Дону;+79285650124;fyodorov_artyom@yandex.ru;Общее среднее;Сварщик
488;Григорьев Фёдор Георгиевич;1981-04-21;Москва;+79666200852;mikhail.volkov@inbox.ru;Общее среднее;Менеджер по продажам
489;Алексеев Степан Игоревич;2001-05-01;Уфа;+79375739612;data18224@yandex.ru;Аспирантура;Логист
490;Волков Фёдор Денисович;1993-06-12;Красноярск;+79139896364;stepanov.german@list.ru;Магистратура;Юрист
491;Романов Матвей Тимофеевич;2005-04-21;Волгоград;+79872999390;study25102@bk.ru;Среднее;Маркетолог
492;Яковлев Марк Петрович;2004-01-03;Краснодар;+79289887303;contact28945@rambler.ru;Высшее;Бариста
493;Михайлов Игорь Устинович;1980-02-16;Новосибирск;+79137483829;orlovustin@rambler.ru;Среднее;Юрист
494;Никитин Руслан Артурович;1976-12-08;Волгоград;+79674246090;alekseev.kirill@inbox.ru;Аспирантура;Маркетолог
495;Михайлов Герман Олегович;1984-10-25;Омск;+79238110965;medvedevviktor@list.ru;Общее среднее;Опыт работы 2 года
496;Егоров Илья Егорович;1988-01-29;Ижевск;+79193384642;box62241@list.ru;Высшее;Дизайнер интерфейсов
497;Николаев Сергей Егорович;2005-01-03;Екатеринбург;+79226413771;temp29498@list.ru;Общее среднее;Опыт работы 2 года
498;Михайлов Антон Степанович;2000-07-24;Москва;+79653583065;test88908@inbox.ru;Общее среднее;Автомеханик
499;Петров Алексей Алексеевич;2006-12-15;Челябинск;+79228253967;alex38350@bk.ru;Высшее;Менеджер по продажам
500;Кузьмин Евгений Артурович;1983-03-01;Омск;+79239684960;career73529@yandex.ru;Общее среднее;Опыт работы 2 года
501;Козлов Егор Янович;1999-05-18;Краснодар;+79612981150;pasha57201@mail.ru;Высшее;Автомеханик
502;Семёнов Фёдор Ильич;1973-10-02;Пермь;+79129852330;core58128@yandex.ru;Среднее;Автомеханик
503;Зайцев Артур Романович;1971-08-15;Красноярск;+79238560242;soft9513@gmail.com;Профессиональное;Ищет работу по специальности
504;Захаров Руслан Андреевич;1987-06-03;Самара;+79876706274;support4119@yandex.ru;Среднее специальное;Бухгалтер
505;Павлов Максим Робертович;2005-05-12;Воронеж;+79602706041;kirill84205@mail.ru;Среднее специальное;Курьер
506;Козлов Платон Викторович;2003-01-27;Новосибирск;+79234734022;net12341@mail.ru;Среднее;Готов к переезду
507;Новиков Олег Робертович;1982-05-12;Екатеринбург;+79123997297;fyodorovdenis@bk.ru;Аспирантура;Исследовательская деятельность
508;Алексеев Игорь Денисович;1987-02-22;Нижний Новгород;+79104655679;job28101@bk.ru;Высшее;Дизайнер интерфейсов
509;Степанов Артём Павлович;1980-05-12;Москва;+79267232895;app69693@rambler.ru;Общее среднее;Финансовый аналитик
510;Иванов Борис Олегович;1996-05-30;Краснодар;+79192485722;support85241@list.ru;Среднее специальное;Студент последнего курса
511;Смирнов Кирилл Владимирович;1987-08-31;Москва;+79668714975;soft26005@bk.ru;Высшее;Готов к переезду
512;Никитин Артур Петрович;1993-03-19;Саратов;+79271993195;net26486@rambler.ru;Среднее;Исследовательская деятельность
513;Кузьмин Денис Вадимович;1990-06-09;Нижний Новгород;+79914565459;alex16209@yandex.ru;Профессиональное;Сварщик
514;Морозов Матвей Олегович;1974-10-03;Москва;+79093395990;vadim.ilin@rambler.ru;Неоконченное высшее;Финансовый аналитик
515;Михайлов Роман Семёнович;1987-12-14;Пермь;+79088382763;dima43069@mail.ru;Неоконченное высшее;Ищет работу по специальности
516;Степанов Егор Фёдорович;1985-09-02;Тюмень;+79519285055;ivan27886@rambler.ru;Общее среднее;Исследовательская деятельность
517;Соколов Тарас Юрьевич;1972-05-30;Красноярск;+79931374444;maksim.stepanov@bk.ru;Общее среднее;Автомеханик
518;Семёнов Лев Максимович;1975-07-08;Краснодар;+79289643320;user17165@list.ru;Среднее;Фрилансер
519;Орлов Артём Платонович;1994-03-08;Ростов-на-Дону;+79613079132;sys51287@rambler.ru;Среднее специальное;Готов к переезду
520;Павлов Демид Максимович;1971-12-21;Воронеж;+79913778574;alex72047@bk.ru;Магистратура;Сварщик
521;Ильин Борис Петрович;1983-08-31;Саратов;+79277388755;borisov_pavel@yandex.ru;Профессиональное;Опыт работы 2 года
522;Семёнов Вадим Германович;1998-04-27;Тюмень;+79082594004;learn28584@inbox.ru;Общее среднее;Исследовательская деятельность
523;Калинин Георгий Маркелович;1995-05-02;Казань;+79607573269;data65115@gmail.com;Общее среднее;Фрилансер
524;Кузнецов Алексей Филиппович;1970-03-09;Челябинск;+79514769436;user90501@rambler.ru;Среднее специальное;Автомеханик
525;Морозов Михаил Робертович;1985-08-06;Волгоград;+79873679676;web22686@inbox.ru;Среднее специальное;Исследовательская деятельность
526;Захаров Алексей Тарасович;1986-10-31;Нижний Новгород;+79109755532;pasha56495@list.ru;Магистратура;Фрилансер
527;Кузьмин Илья Маркелович;1995-02-13;Москва;+79157275233;test81472@list.ru;Высшее;Опыт работы 2 года
528;Романов Кирилл Михайлович;1983-09-27;Нижний Новгород;+79612054138;work20375@yandex.ru;Аспирантура;Юрист
529;Дмитриев Тимур Егорович;1981-09-18;Ростов-на-Дону;+79618280911;random12470@list.ru;Среднее специальное;Готов к переезду
530;Лебедев Демид Тарасович;1992-08-23;Тольятти;+79277812002;core5097@mail.ru;Высшее;Опыт работы 2 года
531;Андреев Георгий Андреевич;1972-04-28;Ростов-на-Дону;+79611273145;artyom.sidorov@yandex.ru;Среднее специальное;Дизайнер интерфейсов
532;Воробьёв Иван Янович;1999-10-31;Челябинск;+79124812430;contact82131@yandex.ru;Аспирантура;Бухгалтер
533;Воробьёв Руслан Романович;1973-10-30;Новосибирск;+79148787029;temp88131@list.ru;Среднее специальное;Автомеханик
534;Романов Никита Платонович;1971-11-19;Москва;+79651514745;dima52914@rambler.ru;Общее среднее;Фрилансер
535;Михайлов Евгений Ильич;1995-03-07;Омск;+79232231864;manager2787@rambler.ru;Общее среднее;Исследовательская деятельность
536;Алексеев Кирилл Романович;1997-06-10;Саратов;+79676743910;net71929@rambler.ru;Магистратура;Маркетолог
537;Петров Семён Максимович;1986-05-13;Ростов-на-Дону;+79616619332;tech52583@gmail.com;Высшее;Менеджер по продажам
538;Егоров Лев Вадимович;2003-05-13;Казань;+79672644982;alekseev.ruslan@bk.ru;Среднее;Бухгалтер
539;Кузнецов Маркел Дмитриевич;1985-04-03;Воронеж;+79202255010;sys76636@yandex.ru;Среднее;Опыт работы 2 года
540;Андреев Владимир Фёдорович;1999-10-12;Тюмень;+79225162496;sys43115@rambler.ru;Профессиональное;Готов к переезду
541;Сидоров Ян Маркелович;1998-04-02;Воронеж;+79604977430;support87903@mail.ru;Неоконченное высшее;Менеджер по продажам
542;Зайцев Денис Русланович;2003-12-13;Красноярск;+79139241275;vasilev.boris@mail.ru;Аспирантура;Студент последнего курса
543;Лебедев Матвей Тимурович;1998-08-19;Екатеринбург;+79129595365;learn81255@list.ru;Высшее;Научный сотрудник
544;Сидоров Кирилл Денисович;1970-03-05;Москва;+79654161108;filippov.german@rambler.ru;Среднее;Системный администратор
545;Филиппов Александр Степанович;1992-01-26;Тольятти;+79379810635;mail71430@gmail.com;Среднее;Бариста
546;Новиков Тарас Михайлович;2006-03-10;Казань;+79376055499;matvey.stepanov@gmail.com;Аспирантура;Бухгалтер
547;Борисов Антон Юрьевич;1990-03-15;Москва;+79098706956;dev47745@mail.ru;Высшее;Менеджер по продажам
548;Павлов Константин Янович;1975-06-08;Омск;+79085546228;andreevdenis@rambler.ru;Аспирантура;Курьер
549;Степанов Кирилл Александрович;2003-11-08;Казань;+79609660335;pasha64580@inbox.ru;Аспирантура;Курьер
550;Смирнов Савва Дмитриевич;1976-05-25;Волгоград;+79193455010;contact68560@bk.ru;Профессиональное;Разработчик ПО
551;Романов Тимур Даниилович;2006-08-27;Новосибирск;+79195448686;contact63647@gmail.com;Неоконченное высшее;Маркетолог
552;Зайцев Вадим Филиппович;1982-06-25;Новосибирск;+79232000302;kozlov.taras@gmail.com;Общее среднее;Бариста
553;Попов Константин Вадимович;1984-08-25;Омск;+79831116011;dev26002@inbox.ru;Среднее специальное;Готов к переезду
554;Орлов Устин Степанович;1999-06-02;Ростов-на-Дону;+79197544822;fyodorov.ustin@list.ru;Аспирантура;Автомеханик
555;Дмитриев Маркел Артурович;1996-10-24;Красноярск;+79335110639;alex89711@rambler.ru;Магистратура;Ищет работу по специальности
556;Иванов Денис Германович;1997-03-20;Ростов-на-Дону;+79185203609;serg79720@mail.ru;Среднее специальное;Фрилансер
557;Романов Вадим Платонович;1972-11-30;Саратов;+79271062123;kuznetsovaleksandr@gmail.com;Неоконченное высшее;Менеджер по продажам
558;Козлов Маркел Львович;2006-11-09;Екатеринбург;+79127451263;core21575@rambler.ru;Среднее специальное;Опыт работы 2 года
559;Козлов Евгений Игоревич;1976-01-21;Санкт-Петербург;+79813370902;data85274@bk.ru;Магистратура;Научный сотрудник
560;Воробьёв Денис Евгеньевич;1973-11-27;Красноярск;+79833079298;data16240@rambler.ru;Среднее специальное;Логист
561;Андреев Игорь Львович;1998-10-30;Новосибирск;+79135810097;pyotr.sokolov@bk.ru;Неоконченное высшее;Ищет работу по специальности
562;Лебедев Ян Николаевич;1976-11-26;Тюмень;+79637123980;cloud34748@bk.ru;Среднее специальное;Юрист
563;Николаев Владимир Степанович;1976-08-28;Санкт-Петербург;+79111835061;pasha40859@inbox.ru;Профессиональное;Курьер
564;Николаев Никита Андреевич;2000-02-15;Екатеринбург;+79677331745;core18310@mail.ru;Аспирантура;Финансовый аналитик
565;Васильев Андрей Маркелович;1985-04-19;Новосибирск;+79839683791;app52488@rambler.ru;Среднее специальное;Разработчик ПО
566;Калинин Фёдор Глебович;1983-04-12;Тольятти;+79377888707;info9887@gmail.com;Среднее;Ищет работу по специальности
567;Семёнов Андрей Вадимович;2001-03-18;Новосибирск;+79194220470;job43253@rambler.ru;Профессиональное;Готов к переезду
568;Волков Егор Устинович;1975-07-09;Омск;+79514123478;nikolay.romanov@mail.ru;Общее среднее;Курьер
569;Соловьёв Юрий Евгеньевич;1991-05-18;Саратов;+79677722661;study22082@mail.ru;Общее среднее;Студент последнего курса
570;Никитин Георгий Маркович;1980-02-11;Саратов;+79671387069;serg47058@yandex.ru;Неоконченное высшее;Готов к переезду
571;Борисов Семён Денисович;1986-07-16;Екатеринбург;+79827256084;support16191@list.ru;Неоконченное высшее;Фрилансер
572;Васильев Михаил Робертович;1985-09-13;Волгоград;+79872554437;kirill53013@gmail.com;Высшее;Научный сотрудник
573;Егоров Дмитрий Егорович;2000-11-13;Волгоград;+79618208395;roma80114@gmail.com;Среднее специальное;Исследовательская деятельность
574;Дмитриев Марк Иванович;2006-09-18;Волгоград;+79891826606;web9816@yandex.ru;Аспирантура;Сварщик
575;Кузнецов Илья Константинович;1977-03-08;Краснодар;+79524509785;roma12619@gmail.com;Профессиональное;Логист
576;Павлов Степан Платонович;1987-08-06;Ижевск;+79225102453;learn11418@rambler.ru;Аспирантура;Разработчик ПО
577;Романов Руслан Демидович;1999-10-29;Екатеринбург;+79514599161;borisovartyom@bk.ru;Среднее специальное;Курьер
578;Попов Платон Евгеньевич;1999-03-14;Санкт-Петербург;+79992991892;mail75464@yandex.ru;Неоконченное высшее;Курьер
579;Сергеев Павел Демидович;1987-12-03;Краснодар;+79881014473;career88907@gmail.com;Профессиональное;Менеджер по продажам
580;Алексеев Юрий Иванович;1972-04-25;Волгоград;+79877529550;cloud86759@list.ru;Среднее специальное;Логист
581;Егоров Пётр Тимофеевич;1982-03-27;Тюмень;+79519073286;kirill10618@inbox.ru;Аспирантура;Автомеханик
582;Зайцев Лев Кириллович;2004-04-09;Саратов;+79372444951;solovyovstepan@list.ru;Общее среднее;Готов к переезду
583;Соловьёв Тимур Ильич;1994-06-25;Самара;+79628814968;sys60125@inbox.ru;Среднее;Студент последнего курса
584;Смирнов Дмитрий Филиппович;1994-09-15;Саратов;+79678572493;medvedevruslan@yandex.ru;Среднее;Дизайнер интерфейсов
585;Козлов Павел Борисович;2004-03-11;Тольятти;+79621801721;andrey66311@bk.ru;Высшее;Финансовый аналитик
586;Ильин Павел Дмитриевич;2001-05-09;Тюмень;+79325250163;sys86284@mail.ru;Высшее;Логист
587;Андреев Ян Иванович;1979-01-04;Челябинск;+79675511655;grigorev_semyon@yandex.ru;Высшее;Бариста
588;Сидоров Денис Тимурович;2001-11-09;Челябинск;+79518370007;net76929@list.ru;Аспирантура;Автомеханик
589;Кузьмин Артём Сергеевич;2000-02-19;Новосибирск;+79137905230;job47762@inbox.ru;Аспирантура;Логист
590;Романов Глеб Максимович;2000-12-01;Москва;+79166481541;client46787@list.ru;Общее среднее;Опыт работы 2 года
591;Борисов Демид Борисович;1984-10-03;Казань;+79603217870;data90534@rambler.ru;Профессиональное;Исследовательская деятельность
592;Зайцев Семён Николаевич;1980-08-30;Краснодар;+79895869678;fyodor.mikhaylov@gmail.com;Неоконченное высшее;Ищет работу по специальности
593;Волков Михаил Михайлович;1986-06-21;Челябинск;+79123080818;client28557@mail.ru;Магистратура;Бухгалтер
594;Соловьёв Владимир Викторович;1996-04-24;Тольятти;+79873618587;data4856@bk.ru;Среднее специальное;Дизайнер интерфейсов
595;Сергеев Матвей Тимофеевич;1994-05-06;Волгоград;+79616835975;medvedev_stepan@rambler.ru;Среднее специальное;Курьер
596;Сергеев Глеб Викторович;1991-05-15;Красноярск;+79137148794;ivan58858@bk.ru;Среднее;Юрист
597;Медведев Роман Юрьевич;1971-10-01;Красноярск;+79234444945;pasha25553@yandex.ru;Профессиональное;Курьер
598;Новиков Алексей Константинович;1989-02-21;Москва;+79167331186;contact22336@yandex.ru;Среднее специальное;Менеджер по продажам
599;Калинин Пётр Алексеевич;1972-02-02;Челябинск;+79229374603;box58757@gmail.com;Среднее специальное;Опыт работы 2 года
600;Романов Тарас Янович;2002-02-12;Казань;+79605549621;core61413@mail.ru;Неоконченное высшее;Научный сотрудник
601;Павлов Никита Вадимович;1979-05-20;Екатеринбург;+79225309573;temp66748@bk.ru;Профессиональное;Менеджер по продажам
602;Григорьев Роман Даниилович;1970-05-03;Ижевск;+79829112913;data24694@bk.ru;Среднее специальное;Разработчик ПО
603;Павлов Вадим Денисович;1998-06-06;Екатеринбург;+79223117315;sokolov.roman@yandex.ru;Среднее специальное;Маркетолог
604;Морозов Юрий Игоревич;1971-04-29;Саратов;+79271867630;client69780@inbox.ru;Аспирантура;Дизайнер интерфейсов
605;Николаев Константин Степанович;1996-10-01;Нижний Новгород;+79912634934;admin57989@list.ru;Неоконченное высшее;Студент последнего курса
606;Кузнецов Александр Фёдорович;1996-11-05;Тольятти;+79876151112;alekseevvadim@inbox.ru;Среднее специальное;Логист
607;Зайцев Дмитрий Викторович;1979-06-28;Казань;+79874482227;learn4695@bk.ru;Профессиональное;Студент последнего курса
608;Сергеев Владимир Матвеевич;1997-12-28;Челябинск;+79676428688;app79715@yandex.ru;Аспирантура;Ищет работу по специальности
609;Григорьев Степан Георгиевич;1985-01-18;Тольятти;+79271427118;serg32546@list.ru;Магистратура;Юрист
610;Дмитриев Демид Львович;1990-07-24;Омск;+79624155025;random70331@inbox.ru;Среднее специальное;Фрилансер
611;Романов Денис Никитич;1979-06-27;Волгоград;+79611200405;test49277@inbox.ru;Общее среднее;Маркетолог
612;Павлов Илья Максимович;1980-12-01;Самара;+79379499441;dima11401@inbox.ru;Магистратура;Менеджер по продажам
613;Зайцев Тимофей Русланович;2006-11-18;Пермь;+79826272531;client24954@list.ru;Профессиональное;Курьер
614;Попов Глеб Денисович;1990-01-18;Краснодар;+79198441061;mail8641@inbox.ru;Профессиональное;Исследовательская деятельность
615;Медведев Константин Игоревич;1980-02-19;Санкт-Петербург;+79526713587;kirill66483@rambler.ru;Магистратура;Бариста
616;Соловьёв Роберт Львович;2002-12-06;Ростов-на-Дону;+79505994341;account23720@rambler.ru;Аспирантура;Менеджер по продажам
617;Васильев Кирилл Платонович;2002-09-05;Пермь;+79124123356;contact13763@bk.ru;Неоконченное высшее;Системный администратор
618;Новиков Александр Ильич;2006-05-20;Красноярск;+79939989543;andrey30425@yandex.ru;Аспирантура;Логист
619;Фёдоров Глеб Владимирович;1982-08-20;Новосибирск;+79536127866;georgiy.sidorov@list.ru;Неоконченное высшее;Системный администратор
620;Григорьев Дмитрий Маркович;1999-04-13;Волгоград;+79179484518;denis.novikov@yandex.ru;Высшее;Автомеханик
621;Петров Кирилл Петрович;2006-10-09;Тольятти;+79278078885;andrey74248@rambler.ru;Высшее;Сварщик
622;Захаров Марк Устинович;1981-09-23;Воронеж;+79205042722;job3612@gmail.com;Высшее;Маркетолог
623;Медведев Даниил Игоревич;1981-01-18;Екатеринбург;+79925878161;support48651@list.ru;Общее среднее;Фрилансер
624;Лебедев Пётр Андреевич;1976-10-05;Челябинск;+79679527731;alex61062@gmail.com;Среднее;Фрилансер
625;Егоров Савва Янович;1994-01-28;Тюмень;+79084064390;dev44555@inbox.ru;Профессиональное;Научный сотрудник
626;Петров Пётр Олегович;1970-07-17;Ростов-на-Дону;+79891300649;fyodor.dmitriev@bk.ru;Магистратура;Фрилансер
627;Новиков Артём Николаевич;1992-04-04;Ростов-на-Дону;+79199848330;hard33396@gmail.com;Аспирантура;Студент последнего курса
628;Смирнов Руслан Демидович;2005-04-20;Нижний Новгород;+79618459525;nikita26346@yandex.ru;Общее среднее;Автомеханик
629;Алексеев Роман Ильич;1985-11-25;Санкт-Петербург;+79602038137;career80175@gmail.com;Высшее;Автомеханик
630;Захаров Руслан Маркелович;2000-11-21;Уфа;+79877278196;box90162@rambler.ru;Общее среднее;Разработчик ПО
631;Медведев Пётр Евгеньевич;1989-07-17;Пермь;+79636693253;ivan78746@rambler.ru;Магистратура;Курьер
632;Семёнов Дмитрий Русланович;1989-05-31;Москва;+79152672200;cloud82744@gmail.com;Среднее;Опыт работы 2 года
633;Степанов Михаил Янович;1991-10-21;Санкт-Петербург;+79502474436;user42452@yandex.ru;Магистратура;Студент последнего курса
634;Кузнецов Устин Устинович;1983-05-24;Нижний Новгород;+79103165863;hard72873@yandex.ru;Профессиональное;Научный сотрудник
635;Козлов Матвей Константинович;2001-12-26;Нижний Новгород;+79103749202;random40814@mail.ru;Высшее;Фрилансер
636;Ильин Савва Германович;1978-01-13;Ростов-на-Дону;+79645442820;learn5566@list.ru;Аспирантура;Финансовый аналитик
637;Николаев Платон Романович;1974-02-28;Тольятти;+79674392782;support74229@rambler.ru;Аспирантура;Бухгалтер
638;Козлов Матвей Германович;1987-02-27;Воронеж;+79918699811;vladimir.lebedev@list.ru;Магистратура;Сварщик
639;Иванов Роман Германович;1971-08-30;Нижний Новгород;+79306372011;nikolay.stepanov@rambler.ru;Аспирантура;Менеджер по продажам
640;Николаев Олег Тимофеевич;1979-09-05;Воронеж;+79951846199;data24848@bk.ru;Общее среднее;Бариста
641;Медведев Артур Саввич;2006-09-02;Саратов;+79672394462;morozov_ivan@rambler.ru;Среднее специальное;Финансовый аналитик
642;Филиппов Руслан Владимирович;2005-03-19;Нижний Новгород;+79309648996;temp72732@yandex.ru;Аспирантура;Бухгалтер
643;Козлов Илья Маркелович;2002-01-30;Нижний Новгород;+79105667359;account64073@gmail.com;Среднее специальное;Сварщик
644;Соловьёв Олег Иванович;1987-05-26;Челябинск;+79828514621;dev3068@rambler.ru;Неоконченное высшее;Дизайнер интерфейсов
645;Медведев Георгий Русланович;1991-03-03;Ижевск;+79636911382;max30643@gmail.com;Высшее;Готов к переезду
646;Кузнецов Евгений Андреевич;1971-07-07;Тюмень;+79086475147;support64583@inbox.ru;Профессиональное;Дизайнер интерфейсов
647;Николаев Фёдор Робертович;1986-09-30;Краснодар;+79196056920;andrey44771@list.ru;Магистратура;Юрист
648;Кузьмин Семён Вадимович;1990-05-23;Краснодар;+79522081273;alex49354@mail.ru;Магистратура;Готов к переезду
649;Андреев Тимур Семёнович;2001-04-10;Ижевск;+79632008410;sys9627@mail.ru;Высшее;Исследовательская деятельность
650;Смирнов Егор Борисович;1984-08-02;Нижний Новгород;+79955091442;admin46009@mail.ru;Среднее;Разработчик ПО
651;Филиппов Олег Алексеевич;1991-09-22;Москва;+79659844261;career39583@gmail.com;Профессиональное;Научный сотрудник
652;Филиппов Максим Матвеевич;1997-01-10;Екатеринбург;+79088500767;project8092@yandex.ru;Магистратура;Логист
653;Смирнов Лев Викторович;1991-06-01;Ростов-на-Дону;+79616094324;soft25203@gmail.com;Среднее специальное;Готов к переезду
654;Дмитриев Олег Устинович;1985-12-18;Уфа;+79879451589;contact64721@gmail.com;Среднее;Маркетолог
655;Филиппов Маркел Иванович;1984-02-04;Воронеж;+79301433872;andreevgeorgiy@gmail.com;Среднее специальное;Курьер
656;Зайцев Платон Антонович;2004-03-08;Казань;+79879952929;temp8295@mail.ru;Среднее специальное;Маркетолог
657;Петров Иван Викторович;1992-04-29;Ростов-на-Дону;+79284585832;dima49669@gmail.com;Магистратура;Ищет работу по специальности
658;Соловьёв Фёдор Сергеевич;1997-09-21;Уфа;+79676382566;net76251@inbox.ru;Аспирантура;Готов к переезду
659;Фёдоров Павел Тарасович;1996-09-04;Красноярск;+79332520650;max64992@list.ru;Среднее;Разработчик ПО
660;Воробьёв Вадим Ильич;1971-09-19;Воронеж;+79202824313;stepanovyan@bk.ru;Среднее специальное;Сварщик
661;Васильев Фёдор Юрьевич;1977-10-13;Казань;+79275996845;medvedev_viktor@bk.ru;Общее среднее;Ищет работу по специальности
662;Орлов Герман Евгеньевич;1977-12-27;Новосибирск;+79142469200;dmitriy.mikhaylov@inbox.ru;Среднее специальное;Ищет работу по специальности
663;Андреев Максим Тимофеевич;1993-12-26;Санкт-Петербург;+79502678536;web8127@list.ru;Среднее;Научный сотрудник
664;Борисов Платон Александрович;1973-05-01;Волгоград;+79193269571;career69400@bk.ru;Неоконченное высшее;Курьер
665;Дмитриев Константин Германович;1981-10-22;Санкт-Петербург;+79528882992;study15488@gmail.com;Аспирантура;Студент последнего курса
666;Михайлов Вадим Петрович;1978-01-28;Тольятти;+79375838835;client50701@mail.ru;Магистратура;Готов к переезду
667;Макаров Роберт Иванович;1974-08-03;Казань;+79879933148;study38808@rambler.ru;Среднее;Фрилансер
668;Петров Тимофей Михайлович;1994-07-16;Челябинск;+79124306742;test46745@gmail.com;Среднее специальное;Логист
669;Дмитриев Роман Александрович;2004-02-21;Нижний Новгород;+79616128976;learn62293@yandex.ru;Общее среднее;Автомеханик
670;Сидоров Артём Павлович;1987-03-30;Волгоград;+79372010228;support29292@inbox.ru;Магистратура;Разработчик ПО
671;Макаров Роберт Георгиевич;1999-11-27;Челябинск;+79511888966;lebedev.nikolay@inbox.ru;Среднее;Фрилансер
672;Алексеев Кирилл Саввич;1997-12-16;Красноярск;+79834997664;dev72059@rambler.ru;Высшее;Курьер
673;Медведев Роман Львович;1972-10-22;Москва;+79152123493;user3355@gmail.com;Общее среднее;Научный сотрудник
674;Кузнецов Марк Саввич;1982-08-18;Ростов-на-Дону;+79281194600;dima42090@inbox.ru;Профессиональное;Бариста
675;Егоров Даниил Русланович;1989-07-30;Санкт-Петербург;+79218306823;roma17501@gmail.com;Профессиональное;Готов к переезду
676;Николаев Глеб Викторович;1996-04-25;Нижний Новгород;+79611879511;hard1441@gmail.com;Профессиональное;Научный сотрудник
